Filename-->,
Mode/Unit-->,
Int.time[ms]-->,45
NrOfAverages-->,10
Smoothing-->,0
Wavelength [nm],flint spectrum 05 24 2021
627.520,-22.73423434
627.661,-8.062064069
627.802,-15.18247608
627.943,-22.64082111
628.084,-21.94708579
628.225,-6.308581718
628.365,-11.5854533
628.506,-35.81171382
628.647,-12.79773372
628.788,-21.36991008
628.929,-9.489875515
629.070,-33.01599929
629.211,-18.30685116
629.351,-19.70229238
629.492,-31.14381078
629.633,-11.64051731
629.774,-41.12524737
629.915,-24.51143447
630.056,-33.94052341
630.196,-32.01469105
630.337,-24.24992658
630.478,-14.91342548
630.619,-30.22996114
630.760,-28.90701226
630.900,-20.63169158
631.041,-17.83167938
631.182,-28.79788249
631.323,-33.10686947
631.463,-34.51312183
631.604,-20.37747678
631.745,-22.65763577
631.886,-42.50387991
632.026,-22.37618697
632.167,-35.45149568
632.308,-43.29943317
632.448,-35.18688596
632.589,-35.07774399
632.730,-22.61911937
632.871,-43.11782974
633.011,-35.88704108
633.152,-30.48074563
633.293,-14.37147942
633.433,-11.33152426
633.574,-22.81755026
633.715,-34.31640342
633.855,-26.44410222
633.996,-33.52413057
634.137,-26.63467468
634.277,-35.87761341
634.418,-19.01314624
634.558,-31.93296901
634.699,-33.42568172
634.840,-34.42397593
634.980,-36.14721626
635.121,-22.92695926
635.261,-31.88558963
635.402,-25.50214361
635.543,-21.00373114
635.683,-27.85635188
635.824,-35.90700005
635.964,-41.16391877
636.105,-22.84879182
636.245,-16.11626662
636.386,-34.80699395
636.527,-40.74222923
636.667,-48.60714906
636.808,-28.27605029
636.948,-34.58259433
637.089,-29.47760731
637.229,-20.96093543
637.370,-29.9871652
637.510,-36.5193992
637.651,-41.83937648
637.791,-32.16248048
637.932,-22.48088244
638.072,-15.4594847
638.213,-45.27945588
638.353,-33.8084205
638.494,-38.67175878
638.634,-24.3194114
638.774,-51.84395321
638.915,-30.08374141
639.055,-29.74380468
639.196,-16.48103145
639.336,-36.67962297
639.477,-20.51314014
639.617,-27.8408028
639.757,-38.86248658
639.898,-25.35193637
640.038,-36.091867
640.179,-28.08887075
640.319,-34.59173606
640.459,-38.63809894
640.600,-30.10558008
640.740,-32.57647279
640.881,-38.661072
641.021,-40.48748716
641.161,-22.22254327
641.302,-33.48575157
641.442,-41.27775009
641.582,-24.47034419
641.723,-39.39045289
641.863,-23.15178712
642.003,-31.87347043
642.144,-24.72555126
642.284,-43.43668483
642.424,-46.25052179
642.564,-33.74722846
642.705,-21.28858565
642.845,-40.6871652
642.985,-34.32398203
643.126,-36.0871713
643.266,-26.10872415
643.406,-32.33466857
643.546,-35.98887685
643.687,-29.84108814
643.827,-43.46419214
643.967,-33.39488109
644.107,-57.31642173
644.247,-25.43937038
