Filename-->,
Mode/Unit-->,
Int.time[ms]-->,45
NrOfAverages-->,10
Smoothing-->,0
Wavelength [nm],
627.943,-28.00988779
628.084,-33.95786256
628.225,-25.29002337
628.365,-5.009294362
628.506,-34.31401076
628.647,-7.572453541
628.788,-19.20574614
628.929,-14.66245737
629.070,-24.85076643
629.211,-19.81159458
629.351,-18.34202418
629.492,-21.31746156
629.633,-10.87704212
629.774,-36.40630905
629.915,-45.08118975
630.056,-34.27704822
630.196,-29.52157244
630.337,-22.14901673
630.478,-16.692421
630.619,-29.89230551
630.760,-30.72802662
630.900,-8.870734305
631.041,-12.3707221
631.182,-36.08887314
631.323,-33.31161289
631.463,-24.1595757
631.604,-21.18290895
631.745,-26.04259307
631.886,-43.304039
632.026,-12.25373349
632.167,-28.11101348
632.308,-45.35085158
632.448,-31.25488347
632.589,-21.31571803
632.730,-21.87474167
632.871,-28.44556617
633.011,-36.67130942
633.152,-27.62330388
633.293,-12.76774301
633.433,-1.554296154
633.574,-22.01274492
633.715,-30.59998316
633.855,-15.05029501
633.996,-11.99357733
634.137,-32.47830185
634.277,-32.1993165
634.418,-8.85960011
634.558,-35.29989771
634.699,-35.85555624
634.840,-20.27715163
634.980,-38.47426362
635.121,-22.28471941
635.261,-26.52570176
635.402,-24.82560434
635.543,-29.88761939
635.683,-32.51342344
635.824,-38.02801442
635.964,-33.79058628
636.105,-20.63626694
636.245,-24.98357529
636.386,-29.12800831
636.527,-30.15545248
636.667,-34.64443402
636.808,-35.13732573
636.948,-28.11812176
637.089,-22.79931039
637.229,-34.88301873
637.370,-37.38770461
637.510,-26.00756292
637.651,-43.56428623
637.791,-19.74499106
637.932,-29.03971152
638.072,-19.03741106
638.213,-25.79412827
638.353,-21.97359144
638.494,-36.60056414
638.634,-39.00757513
638.774,-34.93387494
638.915,-13.53088388
639.055,-40.21745545
639.196,-13.85613112
639.336,-12.41056618
639.477,-8.559594006
639.617,-23.30986947
639.757,-26.14499716
639.898,-33.56026654
640.038,-14.27368874
640.179,-25.26610875
