Filename-->,
Mode/Unit-->,
Int.time[ms]-->,45
NrOfAverages-->,10
Smoothing-->,0
Wavelength [nm],
628.084,-30.78987813
628.225,-18.49685955
628.365,2.898977327
628.506,-32.94904804
628.647,-17.14605274
628.788,-24.42193606
628.929,-8.665554047
629.070,-29.13170508
629.211,-16.23886356
629.351,-19.89245815
629.492,-27.5558095
629.633,-17.52172229
629.774,-32.40638413
629.915,-37.68529351
630.056,-33.0217284
630.196,-28.41934395
630.337,-22.8783
630.478,-21.70702572
630.619,-30.43468213
630.760,-23.02076225
630.900,-25.69267836
631.041,-24.19266615
631.182,-23.52793899
631.323,-22.43888187
631.463,-23.64324665
631.604,-35.1386681
631.745,-30.67691221
631.886,-47.96857376
632.026,-21.62632537
632.167,-39.3543973
632.308,-43.70401821
632.448,-23.99524581
632.589,-20.70241046
632.730,-16.38388131
632.871,-40.67153878
633.011,-19.37713852
633.152,-34.57273078
633.293,-13.99803348
633.433,-5.510773325
633.574,-34.60778413
633.715,-32.07732162
633.855,-23.51957636
633.996,-18.27595215
634.137,-24.36298013
634.277,-30.92054241
634.418,-12.34327106
634.558,-33.20500867
634.699,-28.15203114
634.840,-26.89405956
634.980,-34.27174606
635.121,-19.86436181
635.261,-28.48289671
635.402,-12.01057173
635.543,-28.08668728
635.683,-34.36457567
635.824,-36.62075005
635.964,-32.08130774
636.105,-17.94784994
636.245,-14.49544735
636.386,-27.92074394
636.527,-13.27969987
636.667,-37.50263653
636.808,-31.04445109
636.948,-29.71258297
637.089,-30.1205363
637.229,-23.5110055
637.370,-28.15900011
637.510,-17.04763608
637.651,-36.59126592
637.791,-18.88707862
637.932,-17.45460505
638.072,-9.716764164
638.213,-35.9603879
638.353,-28.11496086
638.494,-31.16178789
638.634,-28.44764829
638.774,-34.13768964
638.915,-12.24304512
639.055,-42.85580339
639.196,-5.436491299
639.336,-16.54229269
639.477,-22.74326496
639.617,-30.18548307
639.757,-40.58708472
639.898,-26.20005064
640.038,-15.38728638
640.179,-42.31697168
640.319,-39.50541821
640.459,-33.37893572
640.600,-21.52653923
640.740,-29.79008636
640.881,-34.19287977
641.021,-48.32279749
641.161,-18.89983654
641.302,-29.66479588
641.442,-33.10241656
641.582,-36.26758318
641.723,-35.09308167
641.863,-17.11816416
642.003,-33.61976557
642.144,-27.4701632
642.284,-27.28473101
642.424,-31.20584545
642.564,-34.57175827
642.705,-22.85321116
642.845,-37.25900011
642.985,-21.39406567
643.126,-37.75900621
643.266,-30.27873993
643.406,-26.66297402
643.546,-24.41697779
643.687,-30.04924335
643.827,-29.04505606
643.967,-27.5576189
644.107,-48.67733994
644.247,-12.79125981
644.388,-20.95341892
644.528,-21.19984264
644.668,-38.14207907
644.808,-15.96319399
644.948,-27.88292723
645.089,-46.82535334
